Date,Open,High,Low,Close,Volume
2022-09-21 04:00:00+00:00,386.11,389.31,377.38,377.39,106950971.0
2022-09-22 04:00:00+00:00,376.58,378.3,373.44,374.22,90697405.0
2022-09-23 04:00:00+00:00,370.58,370.62,363.29,367.95,123734270.0
2022-09-26 04:00:00+00:00,366.41,370.21,363.0299,364.31,93929206.0
2022-09-27 04:00:00+00:00,368.02,370.4,360.87,363.38,108682037.0
2022-09-28 04:00:00+00:00,364.38,372.3,362.6,370.53,113902548.0
2022-09-29 04:00:00+00:00,366.81,367.11,359.7,362.79,115299507.0
2022-09-30 04:00:00+00:00,361.8,365.91,357.04,357.18,156959533.0
2022-10-03 04:00:00+00:00,361.08,368.55,359.21,366.61,92907273.0
2022-10-04 04:00:00+00:00,372.4,378.0,366.5677,377.97,107566221.0
2022-10-05 04:00:00+00:00,373.39,379.46,370.95,377.09,89081904.0
2022-10-06 04:00:00+00:00,375.62,378.72,372.68,373.2,84084215.0
2022-10-07 04:00:00+00:00,368.97,373.2933,360.94,362.79,110845119.0
2022-10-10 04:00:00+00:00,363.96,364.21,357.67,360.02,77136053.0
2022-10-11 04:00:00+00:00,358.235,363.03,355.71,357.74,93767440.0
2022-10-12 04:00:00+00:00,358.17,359.8179,356.3,356.56,78063648.0
2022-10-13 04:00:00+00:00,349.205,367.51,348.11,365.97,151012977.0
2022-10-14 04:00:00+00:00,368.55,370.26,356.96,357.63,126393363.0
2022-10-17 04:00:00+00:00,364.01,367.9799,357.2808,366.82,96144971.0
2022-10-18 04:00:00+00:00,375.13,375.45,367.52,371.13,98962943.0
2022-10-19 04:00:00+00:00,368.99,371.85,365.55,368.5,81191329.0
2022-10-20 04:00:00+00:00,368.03,372.67,364.61,365.41,89795566.0
2022-10-21 04:00:00+00:00,365.12,374.8,363.54,374.29,134419474.0
2022-10-24 04:00:00+00:00,375.89,380.06,373.11,378.87,87697246.0
2022-10-25 04:00:00+00:00,378.79,385.25,378.671,384.92,80716012.0
2022-10-26 04:00:00+00:00,381.62,387.58,381.35,382.02,104989718.0
2022-10-27 04:00:00+00:00,383.07,385.0,379.33,379.98,83114489.0
2022-10-28 04:00:00+00:00,379.87,389.52,379.68,389.02,103100112.0
2022-10-31 04:00:00+00:00,386.44,388.4,385.26,386.21,97000212.0
2022-11-01 04:00:00+00:00,390.14,390.39,383.29,384.52,85675227.0
2022-11-02 04:00:00+00:00,383.9,388.63,374.76,374.87,129869586.0
2022-11-03 04:00:00+00:00,371.465,374.2,368.79,371.01,87348809.0
2022-11-04 04:00:00+00:00,377.0,378.87,370.0,376.35,106018690.0
2022-11-07 05:00:00+00:00,377.71,380.57,375.53,379.95,68286947.0
2022-11-08 05:00:00+00:00,381.11,385.12,377.72,382.0,84641062.0
2022-11-09 05:00:00+00:00,379.93,381.14,373.61,374.13,78495470.0
2022-11-10 05:00:00+00:00,388.05,395.04,385.642,394.69,141455847.0
2022-11-11 05:00:00+00:00,395.59,399.35,393.61,398.51,93752318.0
2022-11-14 05:00:00+00:00,396.66,400.1799,394.83,395.12,71893165.0
2022-11-15 05:00:00+00:00,401.15,402.31,394.49,398.49,93194452.0
2022-11-16 05:00:00+00:00,396.78,397.78,394.79,395.45,68508454.0
2022-11-17 05:00:00+00:00,390.46,394.95,390.14,394.24,74496255.0
2022-11-18 05:00:00+00:00,397.74,397.81,393.04,396.03,92769313.0
2022-11-21 05:00:00+00:00,394.64,395.82,392.66,394.59,51243189.0
2022-11-22 05:00:00+00:00,396.63,400.07,395.1527,399.9,60429025.0
2022-11-23 05:00:00+00:00,399.55,402.93,399.31,402.42,68261628.0
2022-11-25 05:00:00+00:00,401.83,402.91,401.535,402.33,30545434.0
2022-11-28 05:00:00+00:00,399.09,400.81,395.11,395.91,68021749.0
2022-11-29 05:00:00+00:00,396.05,397.3,393.3,395.23,52310039.0
2022-11-30 05:00:00+00:00,395.49,407.68,393.48,407.68,144566653.0
2022-12-01 05:00:00+00:00,408.77,410.0,404.75,407.38,76398170.0
2022-12-02 05:00:00+00:00,402.25,407.86,402.14,406.91,85266739.0
2022-12-05 05:00:00+00:00,403.95,404.93,398.17,399.59,77289815.0
2022-12-06 05:00:00+00:00,399.42,399.99,391.64,393.83,77972217.0
2022-12-07 05:00:00+00:00,392.94,395.64,391.97,393.16,65927896.0
2022-12-08 05:00:00+00:00,395.14,397.36,393.2684,396.24,60737912.0
2022-12-09 05:00:00+00:00,394.94,397.62,393.15,393.28,81353584.0
2022-12-12 05:00:00+00:00,394.11,398.95,393.412,398.95,75405835.0
2022-12-13 05:00:00+00:00,410.22,410.49,399.07,401.97,123782534.0
2022-12-14 05:00:00+00:00,401.61,405.5,396.31,399.4,108111349.0
2022-12-15 05:00:00+00:00,394.3,395.25,387.885,389.63,117705889.0
2022-12-16 05:00:00+00:00,385.18,386.575,381.04,383.27,118935616.0
2022-12-19 05:00:00+00:00,383.47,383.82,378.28,380.02,79878103.0
2022-12-20 05:00:00+00:00,379.23,382.23,377.85,380.54,74427240.0
2022-12-21 05:00:00+00:00,383.25,387.41,382.69,386.23,78167369.0
2022-12-22 05:00:00+00:00,383.05,386.2134,374.77,380.72,100120855.0
2022-12-23 05:00:00+00:00,379.65,383.06,378.03,382.91,59746356.0
2022-12-27 05:00:00+00:00,382.79,383.15,379.65,381.4,51638180.0
2022-12-28 05:00:00+00:00,381.33,383.39,376.42,376.66,70911520.0
2022-12-29 05:00:00+00:00,379.63,384.35,379.08,383.44,66970877.0
2022-12-30 05:00:00+00:00,380.64,382.58,378.43,382.43,83957691.0
2023-01-03 05:00:00+00:00,384.37,386.43,377.831,380.82,74850731.0
2023-01-04 05:00:00+00:00,383.18,385.88,380.0,383.76,85934098.0
2023-01-05 05:00:00+00:00,381.72,381.84,378.76,379.38,76970456.0
2023-01-06 05:00:00+00:00,382.61,389.25,379.4127,388.08,104026233.0
2023-01-09 05:00:00+00:00,390.37,393.7,387.67,387.86,73978071.0
2023-01-10 05:00:00+00:00,387.25,390.65,386.27,390.58,65358094.0
2023-01-11 05:00:00+00:00,392.23,395.6,391.38,395.52,68881080.0
2023-01-12 05:00:00+00:00,396.67,398.485,392.42,396.96,90157699.0
2023-01-13 05:00:00+00:00,393.62,399.1,393.34,398.5,63859516.0
2023-01-17 05:00:00+00:00,398.48,400.23,397.06,397.77,62677281.0
2023-01-18 05:00:00+00:00,399.01,400.12,391.28,391.49,99632262.0
2023-01-19 05:00:00+00:00,389.36,391.08,387.26,388.64,86958919.0
2023-01-20 05:00:00+00:00,390.1,396.04,388.38,395.88,91540638.0
2023-01-23 05:00:00+00:00,396.72,402.645,395.72,400.63,84178797.0
2023-01-24 05:00:00+00:00,398.88,401.15,397.64,400.2,59524911.0
2023-01-25 05:00:00+00:00,395.95,400.7,393.56,400.35,84800251.0
2023-01-26 05:00:00+00:00,403.13,404.92,400.03,404.75,72287425.0
2023-01-27 05:00:00+00:00,403.655,408.16,403.44,405.68,68270538.0
2023-01-30 05:00:00+00:00,402.8,405.13,400.28,400.59,74202018.0
2023-01-31 05:00:00+00:00,401.13,406.53,400.77,406.48,86811786.0
2023-02-01 05:00:00+00:00,405.211,413.67,402.35,410.8,101459155.0
2023-02-02 05:00:00+00:00,414.86,418.31,412.88,416.78,101654463.0
2023-02-03 05:00:00+00:00,411.59,416.97,411.09,412.35,94630250.0
2023-02-06 05:00:00+00:00,409.79,411.29,408.1,409.83,60295325.0
2023-02-07 05:00:00+00:00,408.87,416.49,407.57,415.19,90990745.0
2023-02-08 05:00:00+00:00,413.13,414.53,409.93,410.65,76227462.0
2023-02-09 05:00:00+00:00,414.41,414.57,405.81,407.09,78694859.0
2023-02-10 05:00:00+00:00,405.86,408.44,405.01,408.04,70726597.0
2023-02-13 05:00:00+00:00,408.72,412.97,408.24,412.83,64913539.0
2023-02-14 05:00:00+00:00,411.24,415.05,408.511,412.64,88389313.0
2023-02-15 05:00:00+00:00,410.35,414.06,409.47,413.98,61685279.0
2023-02-16 05:00:00+00:00,408.79,412.91,408.14,408.28,76431469.0
2023-02-17 05:00:00+00:00,406.06,407.51,404.05,407.26,89166502.0
2023-02-21 05:00:00+00:00,403.06,404.16,398.82,399.09,82655924.0
2023-02-22 05:00:00+00:00,399.52,401.13,397.02,398.54,83742293.0
2023-02-23 05:00:00+00:00,401.56,402.2,396.25,400.66,96242399.0
2023-02-24 05:00:00+00:00,395.42,397.25,393.64,396.38,108144871.0
2023-02-27 05:00:00+00:00,399.87,401.29,396.75,397.73,80444736.0
2023-02-28 05:00:00+00:00,397.23,399.28,396.15,396.26,96438567.0
2023-03-01 05:00:00+00:00,395.41,396.69,393.38,394.74,99706823.0
2023-03-02 05:00:00+00:00,392.68,398.69,392.33,397.81,85404726.0
2023-03-03 05:00:00+00:00,399.71,404.45,399.03,404.19,90032260.0
2023-03-06 05:00:00+00:00,405.05,407.45,404.01,404.47,72795946.0
2023-03-07 05:00:00+00:00,404.42,404.67,397.625,398.27,108310596.0
2023-03-08 05:00:00+00:00,398.39,399.71,396.59,398.92,74746632.0
2023-03-09 05:00:00+00:00,399.74,401.48,390.53,391.56,111945322.0
2023-03-10 05:00:00+00:00,390.99,393.16,384.32,385.91,189443810.0
2023-03-13 04:00:00+00:00,381.81,390.39,380.65,385.36,157748594.0
2023-03-14 04:00:00+00:00,390.5,393.45,387.05,391.73,149752357.0
2023-03-15 04:00:00+00:00,385.89,389.49,383.71,389.28,172976539.0
2023-03-16 04:00:00+00:00,386.82,396.47,386.29,396.11,143753940.0
2023-03-17 04:00:00+00:00,393.22,394.4,388.55,389.99,140069974.0
2023-03-20 04:00:00+00:00,390.8,394.17,390.07,393.74,93055783.0
2023-03-21 04:00:00+00:00,397.24,399.41,395.58,398.91,91524248.0
2023-03-22 04:00:00+00:00,398.73,402.49,392.07,392.11,111746583.0
2023-03-23 04:00:00+00:00,395.09,399.29,390.35,393.17,119351319.0
2023-03-24 04:00:00+00:00,391.841,395.84,389.4,395.75,107684280.0
2023-03-27 04:00:00+00:00,398.12,398.92,395.56,396.49,74010408.0
2023-03-28 04:00:00+00:00,395.77,396.49,393.69,395.6,62871680.0
2023-03-29 04:00:00+00:00,399.925,401.6,398.68,401.35,77497876.0
2023-03-30 04:00:00+00:00,404.09,404.35,401.76,403.7,69840049.0
2023-03-31 04:00:00+00:00,404.66,409.7,404.55,409.39,111956715.0
2023-04-03 04:00:00+00:00,408.85,411.37,408.44,410.95,67391097.0
2023-04-04 04:00:00+00:00,411.62,411.92,407.24,408.67,66601534.0
2023-04-05 04:00:00+00:00,407.91,408.7,405.88,407.6,65200243.0
